Symptom,DangerCorrelation,DangerCoefficient
Slow growth,0.5,0.5129564193168433
Sluggish,1.0,1.0259128386336867
Small and yellow bumps,1.0,1.0259128386336867
Small intestines,1.0,1.0259128386336867
Small red bumps,1.0,1.0259128386336867
Small size,1.0,1.0259128386336867
Smell,1.0,1.0259128386336867
Smell of ammonia,1.0,1.0259128386336867
Sneeze,1.0,1.0259128386336867
Sneezing,0.9534883720930233,0.9781959624181663
Snoring,1.0,1.0259128386336867
Sore,1.0,1.0259128386336867
Sores on lip,1.0,1.0259128386336867
Sores on lower leg and teats,1.0,1.0259128386336867
Sour throat,1.0,1.0259128386336867
Speech delay,1.0,1.0259128386336867
Spines,1.0,1.0259128386336867
Splenomegaly,1.0,1.0259128386336867
Spread of infection,1.0,1.0259128386336867
Staggering,1.0,1.0259128386336867
Staggering as drunk,1.0,1.0259128386336867
Stained wool,1.0,1.0259128386336867
Stamping and pedding of hind eye,1.0,1.0259128386336867
Stand with head droping,1.0,1.0259128386336867
Stealing,1.0,1.0259128386336867
Stiff,1.0,1.0259128386336867
Stiffness,1.0,1.0259128386336867
Stillbirth,1.0,1.0259128386336867
Stomach  cramps,1.0,1.0259128386336867
Stomach cramps,1.0,1.0259128386336867
Stomach growling,1.0,1.0259128386336867
Stomatitis,1.0,1.0259128386336867
Stop drinking,1.0,1.0259128386336867
Stop eating,1.0,1.0259128386336867
Stopped eat,1.0,1.0259128386336867
Straining,1.0,1.0259128386336867
Strange behaviour,1.0,1.0259128386336867
Straw colored,1.0,1.0259128386336867
Stress,1.0,1.0259128386336867
Stripped remiges,1.0,1.0259128386336867
Strong cough,1.0,1.0259128386336867
Stumbling,1.0,1.0259128386336867
Stunted growth,1.0,1.0259128386336867
Succumb,1.0,1.0259128386336867
Sudden abortion,1.0,1.0259128386336867
Sudden death,1.0,1.0259128386336867
Swallowing,1.0,1.0259128386336867
Swaying,1.0,1.0259128386336867
Sweat,1.0,1.0259128386336867
Sweating,1.0,1.0259128386336867
Sweats,1.0,1.0259128386336867
Swelling,1.0,1.0259128386336867
Swelling  in the bite area,1.0,1.0259128386336867
Swelling may occur under jaw,1.0,1.0259128386336867
Swelling of eye,1.0,1.0259128386336867
Swelling of eyelid,1.0,1.0259128386336867
Swelling of face or leg,1.0,1.0259128386336867
Swelling of head and neck,1.0,1.0259128386336867
Swelling of internal organs,1.0,1.0259128386336867
Swelling of joints,1.0,1.0259128386336867
Swelling of neck,1.0,1.0259128386336867
Swelling of udder,1.0,1.0259128386336867
Swelling on jaw,1.0,1.0259128386336867
Swelling on joints,1.0,1.0259128386336867
Swelling on leg,1.0,1.0259128386336867
Swelling on thebody,1.0,1.0259128386336867
Swelling problem,1.0,1.0259128386336867
Swollen,1.0,1.0259128386336867
Swollen abdomen,1.0,1.0259128386336867
Swollen and painfull,1.0,1.0259128386336867
Swollen belly,1.0,1.0259128386336867
Swollen comb,1.0,1.0259128386336867
Swollen eyelids,1.0,1.0259128386336867
Swollen kidney,1.0,1.0259128386336867
Swollen left abdomen,1.0,1.0259128386336867
Swollen lymph nodes,1.0,1.0259128386336867
Swollen purple wattle,1.0,1.0259128386336867
Swollen teats,1.0,1.0259128386336867
Swolling of joint,1.0,1.0259128386336867
Tachypea,1.0,1.0259128386336867
Tail shaking,1.0,1.0259128386336867
Tail wagging,1.0,1.0259128386336867
Tail_bobbing,1.0,1.0259128386336867
Tarry stool,1.0,1.0259128386336867
Tear produce,1.0,1.0259128386336867
Tear production,1.0,1.0259128386336867
Tears,1.0,1.0259128386336867
Teeth griding,0.0,0.0
Tender to touch,1.0,1.0259128386336867
Tenderness,1.0,1.0259128386336867
Tensemus,1.0,1.0259128386336867
Terminal convulsion,1.0,1.0259128386336867
Testical pain,1.0,1.0259128386336867
Thick crusting,1.0,1.0259128386336867
Thicked skin,1.0,1.0259128386336867
Thickening of skin,1.0,1.0259128386336867
Thirst,1.0,1.0259128386336867
Thivk skin,1.0,1.0259128386336867
Thrist and urination,1.0,1.0259128386336867
Throat and ear pain,1.0,1.0259128386336867
Tiredness,1.0,1.0259128386336867
Torticollis,1.0,1.0259128386336867
Trachea,1.0,1.0259128386336867
Trauma,1.0,1.0259128386336867
Trembling,1.0,1.0259128386336867
Tremor,1.0,1.0259128386336867
Tremor of head and neck,1.0,1.0259128386336867
Tremors,1.0,1.0259128386336867
Tremors of the head,1.0,1.0259128386336867
Trouble walking,1.0,1.0259128386336867
Twisted neck,1.0,1.0259128386336867
Twitching,1.0,1.0259128386336867
Ulcer,1.0,1.0259128386336867
Ulcer on gum,1.0,1.0259128386336867
Ulcerated ear,1.0,1.0259128386336867
Ulcerated muscle,1.0,1.0259128386336867
Ulcerated skin,1.0,1.0259128386336867
Ulcers,1.0,1.0259128386336867
Unable to eat,1.0,1.0259128386336867
Unable to exercise,1.0,1.0259128386336867
Unable to urinate,1.0,1.0259128386336867
Uncharacteristic hiding,1.0,1.0259128386336867
Underdeveloped muscles,1.0,1.0259128386336867
Undernutrition,1.0,1.0259128386336867
Undigested in their feces,1.0,1.0259128386336867
Undigested seeds,1.0,1.0259128386336867
Unilateral nasal discharge,1.0,1.0259128386336867
Unsteady gait,1.0,1.0259128386336867
Unusally thin,1.0,1.0259128386336867
Upset stomach,1.0,1.0259128386336867
Urination,1.0,1.0259128386336867
Urination problem,1.0,1.0259128386336867
Urine dribbling,1.0,1.0259128386336867
Urine infection,1.0,1.0259128386336867
Urine retention,1.0,1.0259128386336867
Uteria inertia,1.0,1.0259128386336867
Vaginal discharge,1.0,1.0259128386336867
Very cold skin,1.0,1.0259128386336867
Viability,1.0,1.0259128386336867
Vision problem,1.0,1.0259128386336867
Vitamin and minerals defiency,1.0,1.0259128386336867
Vomiting,1.0,1.0259128386336867
Vomitting,1.0,1.0259128386336867
Walking problem,1.0,1.0259128386336867
Wandering,1.0,1.0259128386336867
Warm,1.0,1.0259128386336867
Wart-like growth,1.0,1.0259128386336867
Wasting,1.0,1.0259128386336867
Watering,1.0,1.0259128386336867
Watering diarrhea,1.0,1.0259128386336867
Watering of eyes,1.0,1.0259128386336867
Watery diarrhea dispropotion,1.0,1.0259128386336867
Watery eye,1.0,1.0259128386336867
Watery eyes,1.0,1.0259128386336867
Watery faeces,0.0,0.0
Watery stool,1.0,1.0259128386336867
Wattles,0.0,0.0
Weak calves,1.0,1.0259128386336867
Weak kids,1.0,1.0259128386336867
Weak pulse,1.0,1.0259128386336867
Weakened legs,1.0,1.0259128386336867
Weakness,0.9142857142857143,0.9379774524650849
Week legs,1.0,1.0259128386336867
Week pulse,1.0,1.0259128386336867
Weekness,1.0,1.0259128386336867
Weekness in the back legs,1.0,1.0259128386336867
Weight gain,1.0,1.0259128386336867
Weight loss,0.9640718562874252,0.9890536947306799
Weightloss,1.0,1.0259128386336867
Weigth bearing long bones,1.0,1.0259128386336867
Wether restless,1.0,1.0259128386336867
Wheezing,1.0,1.0259128386336867
White mark on the muscle,1.0,1.0259128386336867
Willnot run to jump,1.0,1.0259128386336867
Wool is clumped,1.0,1.0259128386336867
Wool loss,1.0,1.0259128386336867
Wool production,1.0,1.0259128386336867
Wound,1.0,1.0259128386336867
Wound lesion,1.0,1.0259128386336867
Yellow eye,1.0,1.0259128386336867
Yellow in beak,1.0,1.0259128386336867
Yellow or green dropping,0.0,0.0
Yellowish discharge,1.0,1.0259128386336867
